STT,DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
381,1/8/2018,1006.25,1023.5,1023.5,1000.29,113.04
382,1/9/2018,1028.05,1039.64,1040.58,1019.52,127.84
383,1/10/2018,1040.61,1039.7,1047.59,1033.54,151.72
384,1/11/2018,1036.02,1047.2,1050.23,1031.43,99.86
385,1/12/2018,1050.08,1049.86,1058.2,1044.85,130.91
386,1/15/2018,1050.35,1063.11,1063.11,1042.64,112.28
387,1/16/2018,1056.95,1061.78,1063.46,1047.9,121.77
388,1/17/2018,1060.36,1030,1061.49,1030,118.46
389,1/18/2018,1028.39,1048.56,1048.56,1013.11,112.4
390,1/19/2018,1050.01,1053.47,1062.13,1046.92,119.66
391,1/22/2018,1059.2,1082.71,1084.09,1059.19,93.62
392,1/25/2018,1093.49,1095.52,1109.98,1088.69,188.73
393,1/26/2018,1096.09,1104.42,1112.59,1088,99.33
394,1/29/2018,1108.98,1096.78,1118.08,1095.75,113.27
395,1/30/2018,1087.57,1099.16,1099.16,1078.98,109.84
396,1/31/2018,1097.38,1095.9,1113.37,1094.77,109.61
397,2/1/2018,1098.3,1086.9,1098.3,1076.09,93.38
398,2/2/2018,1087.24,1090.4,1090.4,1075.65,71.95
399,2/5/2018,1081.7,1035.02,1081.7,1035.02,98.88
400,2/6/2018,1013.7,1007.72,1015.56,969.01,152.31
401,2/7/2018,1034.76,1030.91,1040.23,1025.3,74.67
402,2/8/2018,1024.13,1013.56,1031.98,1013.56,50.85
403,2/9/2018,983.6,996.77,996.77,966.78,67.18
404,2/12/2018,1001.7,1034.76,1034.76,1001.7,60.02
405,2/13/2018,1043.44,1054.09,1055.86,1043.44,57.87
406,2/21/2018,1064.55,1075.47,1081.82,1063.73,80.66
407,2/22/2018,1068.84,1064.28,1078.48,1063.46,91.29
408,2/23/2018,1073.56,1089.96,1089.96,1068.75,87.89
409,2/26/2018,1101.66,1099.71,1113.01,1099.71,100.63
410,2/27/2018,1108.87,1106.09,1110.11,1094.17,81.12
411,2/28/2018,1096.3,1108.23,1113.59,1095.98,107.21
412,3/1/2018,1106.03,1105.84,1116.79,1098.51,101.81
413,3/2/2018,1095.31,1106.92,1109.51,1092.18,78.01
414,3/5/2018,1113.71,1080.83,1116.8,1080.83,116.6
415,3/6/2018,1091.98,1103.31,1103.31,1075.78,78.35
416,3/7/2018,1102.85,1092.17,1106.89,1084.53,81.05
417,3/8/2018,1092.29,1105.03,1109.29,1091.7,49.87
418,3/9/2018,1107.83,1106.54,1117.9,1102.07,69.75
419,3/12/2018,1108.7,1106.97,1116.38,1104.85,80.69
420,3/13/2018,1106.88,1111.38,1112.98,1098.58,81.52
421,3/14/2018,1111.58,1115,1121.74,1111.58,89.25
422,3/15/2018,1114.89,1110.26,1114.9,1105.26,75.73
423,3/16/2018,1112.28,1112.93,1118.36,1109.85,112.88
424,3/19/2018,1117.13,1130.26,1134.75,1117.13,75.28
425,3/20/2018,1130.09,1134.19,1139.23,1126,73.16
426,3/21/2018,1134.79,1147.26,1148.64,1134.79,82.8
427,3/22/2018,1147.9,1144.58,1159.37,1144.44,75.39
428,3/23/2018,1144.18,1128.93,1144.18,1113.7,110.41
429,3/26/2018,1129.05,1146.73,1151.32,1123.9,78.08
430,3/27/2018,1146.86,1150.3,1162.35,1146.86,71.95
431,3/28/2018,1150.33,1151.09,1158.75,1144.71,60.03
432,3/29/2018,1151.65,1144.74,1155.65,1141.65,60.67
433,3/30/2018,1144.9,1153.08,1154.59,1136.2,59.18
434,4/2/2018,1153.11,1171.21,1174.13,1153.11,76.27
435,4/3/2018,1171.89,1160.97,1173.18,1156.91,84.65
